종목명,코드,시장,섹터,패턴,현재가,매수기준가,기준가까지%,컵깊이%,컵기간주,손잡이%,매집강도,매수권,돌파,막돌파,돌파후일수,돌파일,돌파거래량,사상최고가,피봇_최고가대비%,현재가_최고가대비%,52주고점대비%,신규상장,상대강도,컵점수,연속일,NEW,투자포인트,소개
"Guardian Pharmacy Services, Inc. Class",GRDN,US,헬스케어,손잡이없음,46.52,47.07,-1.16,23.6,4.4,0.0,4.7,True,True,True,1.0,2026-09-15,1.84,48.26,2.5,-3.6,3.6,False,85.0,95.0,1,True,의료시설 소형주 · 시총 29억달러 · 분기이익 +143% 급증 · ROE 30% · 손잡이 없는 컵 · 상승일 거래량 4.7배 · 주가강도 상위 15%,의료시설
QINGDAO PORT,6198.HK,HK,산업재,손잡이없음,7.66,7.6,0.89,17.7,5.8,0.0,2.2,True,True,True,5.0,2026-09-09,2.77,7.95,4.4,-3.6,3.6,False,44.0,91.0,1,True,해운 중형주 · 시총 498억HKD · ROE 11% · 손잡이 없는 컵 · 상승일 거래량 2.2배 · 주가강도 44점,해운
澳弘电子,605058.SS,CN,기술·IT,손잡이없음,44.33,42.24,4.94,49.5,12.4,0.0,3.49,True,True,True,0.0,2026-09-16,3.4,44.33,4.7,-0.0,0.0,False,79.0,84.0,1,True,전자부품 소형주 · 시총 63억위안 · ROE 8% · 손잡이 없는 컵 · 상승일 거래량 3.5배 · 주가강도 79점,전자부품
招商轮船,601872.SS,CN,에너지,컵앤핸들,19.86,20.12,-1.29,35.2,19.0,11.5,,True,True,True,5.0,2026-09-09,1.68,22.16,9.2,-10.4,10.4,False,96.0,65.7,2,False,"석유·가스 수송 대형주 · 시총 1,695억위안 · ROE 25% · 주가강도 상위 4% (최상위권)",석유·가스 수송
"Frequency Electronics, Inc. - Common S",FEIM,US,기술·IT,손잡이없음,84.6,80.68,4.86,29.3,4.0,0.0,1.42,True,True,True,3.0,2026-09-11,4.86,89.76,10.1,-5.7,5.7,False,97.0,79.0,1,True,통신장비 소형주 · 시총 10억달러 · 분기이익 +486% 급증 · ROE 3% · 손잡이 없는 컵 · 상승일 거래량 1.4배 · 주가강도 상위 3% (최상위권),통신장비
우리금융지주,316140.KS,KR,금융,손잡이없음,36300.0,36286.25,0.04,24.1,12.8,0.0,1.8,True,True,True,2.0,2026-09-14,1.87,41500.0,12.6,-12.5,12.5,False,75.0,91.3,1,True,금융 대형주 · 시총 26.4조원 · 분기이익 +9% · ROE 9% · 손잡이 없는 컵 · 상승일 거래량 1.8배 · 주가강도 75점,금융
YASHIMA DENKI CO LTD,3153.T,JP,산업재,손잡이없음,3155.0,3153.15,0.06,16.1,5.4,0.0,1.15,True,True,True,0.0,2026-09-16,1.4,3655.0,13.7,-13.7,13.7,False,63.0,69.0,1,True,산업재 유통 소형주 · 시총 666억엔 · ROE 17% · 손잡이 없는 컵 · 상승일 거래량 1.1배 · 주가강도 63점,산업재 유통
티에스이,131290.KQ,KR,미분류,손잡이없음,243000.0,294294.0,-17.43,51.2,4.6,0.0,1.96,False,True,True,4.0,2026-09-10,5.86,318500.0,7.6,-23.7,23.7,False,99.0,66.9,1,True,- 중형주 · 시총 2.7조원 · 분기이익 +746% 급증 · 손잡이 없는 컵 · 상승일 거래량 2.0배 · 주가강도 상위 1% (최상위권),-
ENEOS HOLDINGS INC,5020.T,JP,에너지,손잡이없음,1474.0,1398.9,5.37,15.6,8.4,0.0,1.83,False,True,True,5.0,2026-09-09,1.92,1552.5,9.9,-5.1,5.1,False,82.0,96.0,1,True,정유 중형주 · 시총 3.9조엔 · ROE 20% · 손잡이 없는 컵 · 상승일 거래량 1.8배 · 주가강도 상위 18%,정유
东田微,301183.SZ,CN,기술·IT,손잡이없음,302.41,269.17,12.35,50.5,7.6,0.0,2.02,False,True,True,0.0,2026-09-16,1.44,308.0,12.6,-1.8,1.8,False,97.0,65.4,1,True,전자부품 중형주 · 시총 242억위안 · ROE 14% · 손잡이 없는 컵 · 상승일 거래량 2.0배 · 주가강도 상위 3% (최상위권),전자부품
