종목명,코드,시장,현재가,매수기준가,기준가까지%,컵깊이%,컵기간주,손잡이%,매수권,돌파,막돌파,돌파후일수,돌파일,돌파거래량,상대강도
三信電気,8150.T,JP,3285.0,3193.19,2.88,20.6,21.4,7.5,True,True,True,2.0,2026-08-27,2.21,53.0
宇野澤組鐵工所,6396.T,JP,4810.0,4724.72,1.8,23.8,23.6,7.0,True,True,True,4.0,2026-08-25,2.78,75.0
小田原エンジニアリング,6149.T,JP,2313.0,2281.28,1.39,24.5,34.0,3.8,True,True,True,3.0,2026-08-25,1.5,25.0
Teck Resources Ltd Ordinary Shares,TECK,US,69.34,68.17,1.72,24.7,9.8,7.8,True,True,True,5.0,2026-08-21,1.55,85.0
サイバーセキュリティクラウド,4493.T,JP,1968.0,1994.99,-1.35,29.2,23.0,12.1,True,True,True,1.0,2026-08-28,5.75,34.0
아모레퍼시픽우,090435.KS,KR,46700.0,46546.5,0.33,33.3,18.0,7.1,True,True,True,1.0,2026-08-28,1.57,36.0
FIRST TRACTOR,0038.HK,HK,9.36,9.19,1.86,33.7,11.2,11.8,True,True,True,2.0,2026-08-26,3.96,44.0
ALPHAMAB-B,9966.HK,HK,8.67,8.9,-2.63,35.1,22.8,10.5,True,True,True,1.0,2026-08-27,1.96,12.0
オービックビジネスコンサルタント,4733.T,JP,8765.0,8619.61,1.69,36.8,29.4,11.5,True,True,True,1.0,2026-08-28,1.44,67.0
ＡＢＥＪＡ,5574.T,JP,3160.0,3063.06,3.16,37.1,16.6,12.6,True,True,True,1.0,2026-08-28,2.14,62.0
