종목명,코드,시장,섹터,패턴,현재가,매수기준가,기준가까지%,컵깊이%,컵기간주,손잡이%,매집강도,매수권,돌파,막돌파,돌파후일수,돌파일,돌파거래량,사상최고가,피봇_최고가대비%,현재가_최고가대비%,52주고점대비%,신규상장,상대강도,컵점수,연속일,NEW,투자포인트,소개
"Guardian Pharmacy Services, Inc. Class",GRDN,US,헬스케어,손잡이없음,44.16,47.07,-6.18,23.6,4.2,0.0,4.7,True,True,True,4.0,2026-09-15,1.84,48.33,2.6,-8.6,8.6,False,76.0,95.0,6,False,의료시설 소형주 · 시총 29억달러 · 분기이익 +143% 급증 · ROE 30% · 손잡이 없는 컵 · 상승일 거래량 4.7배 · 주가강도 76점,의료시설
인텍플러스,064290.KQ,KR,기술·IT,손잡이형성중,50800.0,50250.2,1.09,60.4,9.4,13.1,,True,True,True,3.0,2026-09-16,1.34,54100.0,7.1,-6.1,6.1,False,98.0,61.1,5,False,"반도체 장비·소재 소형주 · 시총 6,033억원 · 분기이익 -679% · 주가강도 상위 2% (최상위권)",반도체 장비·소재
가온전선,000500.KS,KR,기술·IT,손잡이없음,318500.0,326326.0,-2.4,67.4,10.8,0.0,2.92,True,True,True,1.0,2026-09-18,6.16,352777.78,7.5,-9.7,9.7,False,99.0,78.3,2,False,통신장비 중형주 · 시총 5.4조원 · 분기이익 +187% 급증 · ROE 13% · 손잡이 없는 컵 · 상승일 거래량 2.9배 · 주가강도 상위 1% (최상위권),통신장비
Semtech Corporation - Common Stock,SMTC,US,기술·IT,컵앤핸들,177.37,169.17,4.85,41.9,11.8,13.1,,True,True,True,2.0,2026-09-17,1.62,190.64,11.3,-7.0,7.0,False,96.0,58.9,7,False,반도체 중형주 · 시총 141억달러 · ROE 24% · 주가강도 상위 4% (최상위권),반도체
"Meta Platforms, Inc. - Class A Common ",META,US,통신·미디어,손잡이형성중,741.24,686.0,8.05,24.2,20.8,3.6,,False,True,True,0.0,2026-09-21,2.7,796.25,13.8,-6.9,6.3,False,60.0,63.6,7,False,인터넷 콘텐츠 초대형주 · 시총 1.7조달러 · 분기이익 -13% · ROE 30% · 주가강도 60점,인터넷 콘텐츠
HUISHANG BANK,3698.HK,HK,미분류,손잡이없음,4.88,5.5,-11.2,23.7,4.8,0.0,1.05,True,False,False,,,0.0,5.49,-0.2,-11.1,11.1,False,65.0,73.0,6,False,- · 손잡이 없는 컵 · 상승일 거래량 1.1배 · 주가강도 65점,-
지엔씨에너지,119850.KQ,KR,산업재,손잡이없음,52300.0,58058.0,-9.92,30.5,4.6,0.0,2.56,True,False,False,,,0.0,58000.0,-0.1,-9.8,9.8,False,96.0,74.7,6,False,"산업기계 소형주 · 시총 8,763억원 · 분기이익 +36% 급증 · ROE 20% · 손잡이 없는 컵 · 상승일 거래량 2.6배 · 주가강도 상위 4% (최상위권)",산업기계
뉴파워프라즈마,144960.KQ,KR,미분류,손잡이없음,12000.0,13293.28,-9.73,36.4,5.2,0.0,2.62,True,False,False,,,0.0,13280.0,-0.1,-9.6,9.6,False,96.0,70.0,6,False,- · 분기이익 +599% 급증 · 손잡이 없는 컵 · 상승일 거래량 2.6배 · 주가강도 상위 4% (최상위권),-
NVIDIA Corporation - Common Stock,NVDA,US,기술·IT,손잡이없음,227.38,236.78,-3.97,19.8,7.6,0.0,1.17,True,False,False,,,0.0,236.54,-0.1,-3.9,3.9,False,67.0,77.5,6,False,반도체 초대형주 · 시총 5.2조달러 · 분기이익 +128% 급증 · ROE 117% · 손잡이 없는 컵 · 상승일 거래량 1.2배 · 주가강도 67점,반도체
"Palo Alto Networks, Inc. - Common Stoc",PANW,US,기술·IT,손잡이없음,371.76,399.28,-6.89,19.4,4.2,0.0,1.79,True,False,False,,,0.0,398.88,-0.1,-6.8,6.8,False,93.0,78.6,6,False,"기술·IT 초대형주 · 시총 3,073억달러 · 분기이익 -197% · ROE 2% · 손잡이 없는 컵 · 상승일 거래량 1.8배 · 주가강도 상위 7% (최상위권)",기술·IT
