C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,fail,pass,pass,pass,pass,fail,4,fail,招商轮船,601872.SS,CN,20.5,20.12
unknown,fail,pass,pass,fail,unknown,fail,2,fail,TSE7740,7740.T,JP,1339.0,1464.46
unknown,fail,pass,pass,pass,pass,fail,4,fail,"Heartflow, Inc. - Common Stock",HTFL,US,48.33,51.24
pass,pass,pass,pass,fail,pass,fail,5,fail,Wheaton Precious Metals Corp Common Sh,WPM,US,150.02,164.06
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE6023,6023.T,JP,3205.0,3393.39
unknown,fail,pass,pass,fail,fail,fail,2,fail,安邦护卫,603373.SS,CN,39.6,42.89
pass,fail,pass,pass,fail,pass,fail,4,fail,Franco-Nevada Corporation,FNV,US,263.09,273.03
unknown,pass,pass,pass,pass,fail,fail,4,fail,Semtech Corporation - Common Stock,SMTC,US,150.91,169.17
pass,fail,pass,pass,fail,fail,fail,3,fail,"American Healthcare REIT, Inc. Common ",AHR,US,53.09,55.81
unknown,unknown,pass,pass,pass,unknown,fail,3,fail,NIQ Global Intelligence plc Ordinary S,NIQ,US,18.54,19.39
fail,fail,pass,pass,fail,pass,fail,3,fail,"Gilead Sciences, Inc. - Common Stock",GILD,US,146.3,149.12
fail,pass,pass,pass,fail,pass,fail,4,fail,"HCI Group, Inc. Common Stock",HCI,US,186.22,199.18
unknown,fail,pass,pass,pass,fail,fail,3,fail,Target Hospitality Corp. - Common Stoc,TH,US,18.75,19.67
pass,pass,pass,pass,fail,pass,fail,5,fail,Fortuna Mining Corp. Common Shares,FSM,US,11.64,12.95
pass,fail,pass,pass,fail,pass,fail,4,fail,Teck Resources Ltd Ordinary Shares,TECK,US,64.65,67.87
fail,pass,pass,pass,pass,fail,fail,4,fail,TechnipFMC plc Ordinary Share,FTI,US,74.97,74.99
fail,pass,pass,pass,pass,fail,fail,4,fail,Tenet Healthcare Corporation Common St,THC,US,260.85,262.94
pass,fail,pass,pass,pass,fail,fail,4,fail,"Five Below, Inc. - Common Stock",FIVE,US,236.07,244.77
fail,fail,pass,pass,pass,pass,fail,4,fail,"PACS Group, Inc. Common Stock",PACS,US,42.09,45.94
fail,pass,pass,pass,fail,fail,fail,3,fail,"The Hartford Insurance Group, Inc. Com",HIG,US,136.03,135.41
unknown,fail,pass,pass,pass,pass,fail,4,fail,罗博特科,300757.SZ,CN,601.18,660.66
fail,fail,pass,pass,fail,pass,fail,3,fail,Fox Corporation - Class B Common Stock,FOX,US,60.34,62.99
fail,fail,pass,pass,fail,fail,fail,2,fail,"OneMain Holdings, Inc. Common Stock",OMF,US,61.53,66.12
unknown,fail,pass,pass,fail,pass,fail,3,fail,成都银行,601838.SS,CN,20.04,19.27
unknown,fail,pass,pass,unknown,fail,fail,2,fail,超颖电子,603175.SS,CN,96.86,97.4
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE3197,3197.T,JP,3308.0,3429.43
fail,pass,pass,pass,pass,pass,fail,5,fail,Centerra Gold Inc. Common Shares,CGAU,US,22.08,22.32
fail,fail,pass,pass,fail,fail,fail,2,fail,Freedom Holding Corp. - Common Stock,FRHC,US,161.81,176.37
pass,pass,fail,pass,fail,pass,fail,4,fail,Palantir Technologies Inc. - Class A C,PLTR,US,172.56,188.56
fail,pass,fail,pass,fail,fail,fail,2,fail,Covista Inc. Common Shares,CVSA,US,126.28,142.06
pass,fail,pass,pass,fail,pass,fail,4,fail,Charles Schwab Corporation (The) Commo,SCHW,US,107.79,104.07
unknown,fail,pass,pass,pass,fail,fail,3,fail,GLOBAL NEW MAT,6616.HK,HK,9.93,10.31
unknown,fail,pass,pass,fail,pass,fail,3,fail,隆鑫通用,603766.SS,CN,15.12,15.2
fail,fail,pass,pass,fail,fail,fail,2,fail,Liberty Media Corporation - Series A L,FWONA,US,86.95,90.04
fail,fail,pass,pass,fail,pass,fail,3,fail,Hess Midstream LP Class A Representing,HESM,US,39.85,39.94
unknown,fail,pass,pass,pass,pass,fail,4,fail,S-Oil,010950.KS,KR,148700.0,160160.0
unknown,fail,pass,fail,fail,pass,fail,2,fail,PICC P&C,2328.HK,HK,16.79,17.91
unknown,fail,fail,pass,fail,pass,fail,2,fail,TSE7818,7818.T,JP,1199.0,1299.3
pass,fail,pass,pass,fail,fail,fail,3,fail,LPL Financial Holdings Inc. - Common S,LPLA,US,341.74,364.57
unknown,fail,pass,pass,pass,fail,fail,3,fail,汇创达,300909.SZ,CN,59.17,60.21
