C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot,dist
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,三信電気,8150.T,JP,3295.0,3193.19,3.19
unknown,fail,pass,unknown,pass,unknown,fail,2,fail,オービックビジネスコンサルタント,4733.T,JP,8755.0,8619.61,1.57
unknown,unknown,pass,unknown,pass,unknown,fail,2,fail,DESUN SERVICES,2270.HK,HK,7.1,7.97,-10.89
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"Magyar Bancorp, Inc. - Common Stock",MGYR,US,19.36,20.02,-3.3
unknown,fail,pass,unknown,fail,unknown,pass,2,fail,"CACI International, Inc. Class A Commo",CACI,US,623.01,684.07,-8.93
pass,fail,pass,unknown,pass,unknown,pass,4,fail,"Warrior Met Coal, Inc. Common Stock",HCC,US,108.24,111.31,-2.76
fail,fail,pass,unknown,pass,unknown,pass,3,fail,"Cactus, Inc. Class A Common Stock",WHD,US,70.32,74.14,-5.16
fail,pass,pass,unknown,fail,unknown,pass,3,fail,Encompass Health Corporation Common St,EHC,US,120.21,127.63,-5.81
unknown,fail,pass,unknown,pass,unknown,fail,2,fail,豊田通商,8015.T,JP,7598.0,7627.62,-0.39
fail,fail,pass,unknown,pass,unknown,pass,3,fail,FedEx Corporation Common Stock,FDX,US,327.4,342.03,-4.28
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Crane Company Common Stock,CR,US,205.07,226.69,-9.54
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"Mueller Industries, Inc. Common Stock",MLI,US,62.41,69.91,-10.73
pass,fail,pass,unknown,fail,unknown,pass,3,fail,ConocoPhillips Common Stock,COP,US,132.49,136.02,-2.59
fail,pass,pass,unknown,fail,unknown,pass,3,fail,News Corporation - Class A Common Stoc,NWSA,US,30.71,30.91,-0.65
unknown,unknown,pass,unknown,fail,unknown,pass,2,fail,BlackRock Enhanced Large Cap Core Fund,CII,US,24.47,25.37,-3.53
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ＡＤＥＫＡ,4401.T,JP,4618.0,4917.91,-6.1
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,椿本興業,8052.T,JP,2942.0,3023.02,-2.68
unknown,unknown,pass,unknown,fail,unknown,pass,2,fail,abrdn Global Infrastructure Income Fun,ASGI,US,22.47,24.89,-9.71
pass,fail,pass,unknown,pass,unknown,pass,4,fail,Equinor ASA,EQNR,US,42.8,41.67,2.71
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,オーハシテクニカ,7628.T,JP,1200.0,1236.23,-2.93
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"American Financial Group, Inc. Common ",AFG,US,142.55,145.34,-1.92
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,Ｅ・Ｊホールディングス,2153.T,JP,1871.0,1846.84,1.31
fail,fail,pass,unknown,pass,unknown,fail,2,fail,에이플러스에셋,244920.KS,KR,13370.0,14264.25,-6.27
pass,unknown,pass,unknown,fail,unknown,pass,3,fail,"American Healthcare REIT, Inc. Common ",AHR,US,55.21,55.81,-1.07
unknown,pass,pass,unknown,fail,unknown,fail,2,fail,片倉工業,3001.T,JP,2964.0,3078.08,-3.71
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"Gilead Sciences, Inc. - Common Stock",GILD,US,146.34,149.12,-1.86
pass,fail,pass,unknown,pass,unknown,pass,4,fail,Teck Resources Ltd Ordinary Shares,TECK,US,68.12,68.17,-0.07
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,大日本印刷,7912.T,JP,3093.0,3186.18,-2.92
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,クレハ,4023.T,JP,4540.0,4639.63,-2.15
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ニフコ,7988.T,JP,5063.0,5259.25,-3.73
fail,unknown,pass,unknown,fail,unknown,pass,2,fail,"HCI Group, Inc. Common Stock",HCI,US,185.73,199.18,-6.75
unknown,unknown,pass,unknown,pass,unknown,pass,3,partial,"Taiwan Fund, Inc. (The) Common Stock",TWN,US,102.06,99.35,2.73
unknown,unknown,pass,unknown,fail,unknown,pass,2,fail,"Equitable Holdings, Inc. Common Stock",EQH,US,50.13,53.37,-6.08
pass,fail,pass,unknown,fail,unknown,pass,3,fail,LPL Financial Holdings Inc. - Common S,LPLA,US,370.14,379.38,-2.44
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,かんぽ生命保険,7181.T,JP,1678.0,1686.68,-0.51
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,アソインターナショナル,9340.T,JP,770.0,736.74,4.52
fail,fail,pass,unknown,pass,unknown,pass,3,fail,"CF Industries Holdings, Inc. Common St",CF,US,130.03,132.68,-2.0
pass,fail,pass,unknown,fail,unknown,pass,3,fail,Heico Corporation Common Stock,HEI,US,331.15,352.34,-6.01
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ＹＵＡＳＡ,8074.T,JP,6440.0,6136.13,4.95
unknown,fail,pass,unknown,pass,unknown,fail,2,fail,ギフトホールディングス,9279.T,JP,2475.0,2552.55,-3.04
unknown,unknown,pass,unknown,pass,unknown,pass,3,partial,New Pacific Metals Corp. Common Shares,NEWP,US,6.78,7.04,-3.65
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"East West Bancorp, Inc. - Common Stock",EWBC,US,126.86,127.65,-0.62
pass,unknown,pass,unknown,pass,unknown,pass,4,partial,"Kingstone Companies, Inc - Common Stoc",KINS,US,19.65,20.81,-5.58
fail,pass,pass,unknown,pass,unknown,pass,4,fail,Tenet Healthcare Corporation Common St,THC,US,265.91,262.94,1.13
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ジェコス,9991.T,JP,1777.0,1806.8,-1.65
pass,fail,pass,unknown,pass,unknown,pass,4,fail,"Five Below, Inc. - Common Stock",FIVE,US,246.84,244.77,0.84
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,日本曹達,4041.T,JP,4020.0,3893.89,3.24
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,愛知製鋼,5482.T,JP,3230.0,3253.25,-0.71
fail,fail,fail,unknown,fail,unknown,pass,1,fail,Marriott International - Class A Commo,MAR,US,341.76,380.38,-10.15
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Microsoft Corporation - Common Stock,MSFT,US,507.29,514.24,-1.35
fail,pass,pass,unknown,fail,unknown,pass,3,fail,Booking Holdings Inc. - Common Stock,BKNG,US,199.09,215.91,-7.79
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Fox Corporation - Class B Common Stock,FOX,US,60.22,62.99,-4.4
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,トレジャー・ファクトリー,3093.T,JP,2063.0,2167.16,-4.81
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Banco De Chile ADS,BCH,US,41.11,43.18,-4.8
fail,fail,pass,unknown,fail,unknown,pass,2,fail,"OneMain Holdings, Inc. Common Stock",OMF,US,62.46,66.42,-5.96
unknown,fail,pass,unknown,pass,unknown,fail,2,fail,福山通運,9075.T,JP,6300.0,6546.54,-3.77
pass,fail,pass,unknown,fail,unknown,pass,3,fail,Chevron Corporation Common Stock,CVX,US,206.14,197.89,4.17
fail,fail,fail,unknown,fail,unknown,fail,0,fail,成都银行,601838.SS,CN,18.71,19.27,-2.9
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,リズム,7769.T,JP,4005.0,4059.05,-1.33
fail,pass,fail,unknown,fail,unknown,fail,1,fail,超颖电子,603175.SS,CN,92.85,97.4,-4.67
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,王子ホールディングス,3861.T,JP,881.5,899.1,-1.96
pass,fail,fail,unknown,pass,unknown,fail,2,fail,招商轮船,601872.SS,CN,18.98,20.12,-5.67
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Travel   Leisure Co. Common  Stock,TNL,US,68.76,73.5,-6.45
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ヨンキュウ,9955.T,JP,2846.0,2890.89,-1.55
fail,fail,fail,unknown,fail,unknown,pass,1,fail,Vulcan Materials Company (Holding Comp,VMC,US,269.58,299.79,-10.08
fail,pass,pass,unknown,fail,unknown,pass,3,fail,Performance Food Group Company Common ,PFGC,US,99.17,106.11,-6.54
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,ミツウロコグループホールディングス,8131.T,JP,2264.0,2285.28,-0.93
pass,fail,pass,unknown,pass,unknown,pass,4,fail,Suncor Energy  Inc. Common Stock,SU,US,66.82,66.86,-0.06
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,日本毛織,3201.T,JP,1972.0,1899.9,3.8
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,石光商事,2750.T,JP,1359.0,1386.38,-1.98
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,東京鐵鋼,5445.T,JP,2042.0,2050.05,-0.39
fail,fail,pass,unknown,fail,unknown,pass,2,fail,Arrow Financial Corporation - Common S,AROW,US,37.74,38.13,-1.02
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,オークマ,6103.T,JP,4805.0,5085.08,-5.51
unknown,fail,pass,unknown,fail,unknown,fail,1,fail,オカムラ,7994.T,JP,2378.0,2444.44,-2.72
